,Player_Name,Year,Runs_Scored
1300,V Kohli,2016,969
290,DA Warner,2016,848
76,AB de Villiers,2016,687
1065,S Dhawan,2016,501
398,G Gambhir,2016,501
994,RG Sharma,2016,489
133,AM Rahane,2016,480
690,M Vijay,2016,453
917,Q de Kock,2016,445
1143,SK Raina,2016,399
586,KL Rahul,2016,397
1040,RV Uthappa,2016,394
115,AJ Finch,2016,393
1365,YK Pathan,2016,361
582,KK Nair,2016,357
206,BB McCullum,2016,354
573,KD Karthik,2016,335
159,AT Rayudu,2016,334
354,DR Smith,2016,324
1223,SV Samson,2016,291
787,MS Dhoni,2016,284
1340,WP Saha,2016,270
1184,SPD Smith,2016,270
498,JC Buttler,2016,255
744,MK Pandey,2016,248
574,KH Pandya,2016,237
1380,Yuvraj Singh,2016,236
249,CH Gayle,2016,227
553,KA Pollard,2016,208
386,F du Plessis,2016,206
1013,RR Pant,2016,198
252,CH Morris,2016,195
530,JP Duminy,2016,191
979,RA Jadeja,2016,191
103,AD Russell,2016,188
710,MC Henriques,2016,182
1104,SA Yadav,2016,182
1198,SR Watson,2016,179
417,GJ Maxwell,2016,179
871,PA Patel,2016,177
1209,SS Tiwary,2016,170
282,DA Miller,2016,161
694,M Vohra,2016,161
1132,SE Marsh,2016,159
430,HM Amla,2016,157
826,NLTC Perera,2016,150
768,MP Stoinis,2016,146
318,DJ Hooda,2016,144
838,NV Ojha,2016,136
1282,UT Khawaja,2016,127
602,KS Williamson,2016,124
380,EJG Morgan,2016,123
1229,Sachin Baby,2016,119
1240,Shakib Al Hasan,2016,114
422,Gurkeerat Singh,2016,113
148,AR Patel,2016,111
813,N Rana,2016,104
315,DJ Bravo,2016,99
442,Harbhajan Singh,2016,92
1224,SW Billings,2016,88
412,GJ Bailey,2016,84
270,CR Brathwaite,2016,83
535,JP Faulkner,2016,77
600,KP Pietersen,2016,73
1167,SN Khan,2016,66
211,BCJ Cutting,2016,65
1219,STR Binny,2016,63
731,MJ Guptill,2016,57
859,P Negi,2016,57
1270,TM Head,2016,54
229,Bipul Sharma,2016,51
3,A Ashish Reddy,2016,47
429,HH Pandya,2016,44
184,B Kumar,2016,43
474,Ishan Kishan,2016,42
592,KM Jadhav,2016,42
925,R Ashwin,2016,41
473,Iqbal Abdulla,2016,37
607,KV Sharma,2016,36
735,MJ McClenaghan,2016,34
934,R Bhatia,2016,34
764,MM Sharma,2016,32
1258,TG Southee,2016,30
1200,SS Iyer,2016,30
231,C Munro,2016,30
893,PP Chawla,2016,27
361,DS Kulkarni,2016,27
701,MA Agarwal,2016,27
236,CA Lynn,2016,25
955,R Sathish,2016,24
856,P Kumar,2016,24
381,ER Dwivedi,2016,24
830,NS Naik,2016,23
523,JO Holder,2016,22
98,AD Nath,2016,20
862,P Sahu,2016,19
497,JA Morkel,2016,16
382,F Behardien,2016,14
939,R Dhawan,2016,14
575,KJ Abbott,2016,13
971,R Vinay Kumar,2016,13
558,KC Cariappa,2016,13
461,IK Pathan,2016,11
913,Parvez Rasool,2016,10
829,NM Coulter-Nile,2016,9
1290,UT Yadav,2016,9
1234,Sandeep Sharma,2016,8
632,LMP Simmons,2016,8
145,AP Tare,2016,8
519,JJ Bumrah,2016,8
772,MR Marsh,2016,7
907,PV Tambe,2016,7
1179,SP Narine,2016,7
903,PSP Handscomb,2016,6
1387,Z Khan,2016,6
488,J Yadav,2016,6
729,MG Johnson,2016,5
466,Imran Tahir,2016,5
276,D Wiese,2016,5
20,A Mishra,2016,4
209,BB Sran,2016,4
167,Ankit Sharma,2016,3
257,CJ Jordan,2016,3
812,Mohammed Shami,2016,2
1068,S Gopal,2016,2
32,A Nehra,2016,1
1109,SB Jakati,2016,1
375,DW Steyn,2016,1
610,KW Richardson,2016,1
673,M Morkel,2016,1
1078,S Nadeem,2016,1
41,A Zampa,2016,0
648,M Ashwin,2016,0
1071,S Kaushik,2016,0
1248,Swapnil Singh,2016,0
1281,UBT Chand,2016,0
